Position Drafted,Team,Draft Year,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
 T,Ravens,2016,328,5749,1083,5.3,28,7,323,426,676,4271,21,21,6.1,211,383,1478,8,3.9,89,122,1153,23,186,33.3,14.0,Own 27.1,2:38,6.04,30.8,1.62,401,5398,1000,5.4,14,8,311,350,545,3737,30,6,6.4,189,418,1661,10,4.0,80,103,748,42,187,37.4,7.0,Own 28.0,2:37,5.5,28.8,1.98,25,14,,,22,2,16,,1,8,23,29,22,,25,26,21,24,,,,,,20,10,17,15,5,15,22,24,8,,,30,22,12,,10,10,22,32,16,,17,12,10,10,,,,,,10,30,20,15,9,8,20
DE,49ers,2016,238,4860,969,5.0,17,5,261,322,526,3316,16,12,5.7,154,390,1544,7,4.0,83,113,823,24,182,25.8,8.2,Own 23.7,2:21,5.47,26.6,1.28,387,6199,1081,5.7,12,3,356,375,549,4179,21,9,7.2,199,504,2020,20,4.0,128,112,920,29,182,37.9,6.6,Own 28.9,3:00,6.1,34.0,2.04,32,31,,,4,1,31,,24,29,29,11,28,,23,21,24,20,,,,,,29,30,31,28,26,29,32,18,29,,,31,30,28,,12,27,7,26,30,,32,29,31,12,,,,,,8,31,25,32,32,30,25
 T,Titans,2016,299,4988,976,5.1,33,16,298,342,551,3503,25,17,5.8,195,371,1485,10,4.0,66,93,779,37,191,25.7,16.2,Own 27.0,2:29,5.19,26.1,1.50,423,5475,1004,5.5,19,8,317,319,503,3678,34,11,6.8,192,462,1797,11,3.9,101,112,982,24,186,36.6,8.1,Own 28.8,2:39,5.5,29.3,2.06,28,30,,,31,31,27,,21,25,18,24,27,,28,25,18,17,,,,,,31,3,18,22,31,31,28,27,12,,,25,22,14,,1,7,29,21,25,,27,18,17,8,,,,,,14,28,24,19,10,10,27
LB,Bears,2016,335,5517,1025,5.4,21,9,312,334,523,3663,21,12,6.6,177,468,1854,13,4.0,108,99,909,27,179,37.4,11.2,Own 29.4,2:49,5.94,30.7,1.88,397,5527,981,5.6,17,9,307,322,513,3593,31,8,6.6,182,433,1934,9,4.5,103,98,895,22,175,36.6,8.0,Own 26.4,2:41,5.8,31.4,2.01,23,21,,,13,15,21,,25,23,23,11,13,,6,11,12,19,,,,,,10,17,6,6,8,16,15,20,14,,,28,16,10,,5,4,25,30,18,,21,23,8,26,,,,,,13,29,7,23,19,22,24
DB,Giants,2016,420,5956,1053,5.7,21,7,331,392,623,4347,36,14,6.7,208,403,1609,5,4.0,77,102,777,46,186,38.2,11.3,Own 28.0,2:27,5.83,32.0,2.03,442,6725,1105,6.1,28,13,367,423,638,4783,31,15,7.2,236,444,1942,15,4.4,104,120,1077,27,190,40.5,14.2,Own 25.9,2:42,6.0,35.2,2.18,6,8,,,13,2,12,,6,7,1,19,11,,19,18,29,18,,,,,,8,16,12,24,11,8,8,30,32,,,6,4,31,,29,32,25,10,29,,22,24,26,24,,,,,,4,8,6,25,31,31,29
DB,Buccaneers,2016,342,6014,1017,5.9,28,13,336,312,535,3852,22,15,6.9,201,455,2162,12,4.8,99,143,1195,36,176,35.8,14.8,Own 26.2,2:38,6.01,34.1,1.85,417,5446,1045,5.2,23,12,351,378,541,3840,31,11,6.6,208,466,1606,12,3.4,104,104,862,39,180,41.7,12.8,Own 30.2,2:48,6.0,30.5,2.23,20,5,,,22,28,9,,22,17,22,22,8,,8,5,15,2,,,,,,13,7,25,15,7,5,17,26,10,,,16,9,26,,7,16,25,21,19,,29,11,20,2,,,,,,3,11,31,31,30,18,30
DT,Saints,2016,408,6461,1096,5.9,20,8,381,460,667,4970,32,12,7.1,247,397,1491,16,3.8,98,130,1112,36,182,36.3,10.4,Own 26.4,2:45,6.16,35.5,2.14,476,6615,997,6.6,22,13,380,372,544,4544,45,9,7.9,223,422,2071,12,4.9,103,114,887,54,180,43.9,11.7,Own 27.0,2:35,5.7,36.7,2.58,8,2,,,11,7,1,,2,1,10,11,4,,20,24,6,27,,,,,,11,19,23,10,3,1,6,32,31,,,19,4,32,,9,31,32,26,32,,19,31,20,32,,,,,,1,18,10,13,13,32,32
 T,Dolphins,2016,310,5307,977,5.4,19,7,291,365,588,3811,24,12,6.0,194,344,1496,11,4.3,72,134,1090,25,187,25.7,9.6,Own 26.0,2:21,5.31,28.3,1.52,389,6019,1076,5.6,16,3,351,350,542,4000,31,13,7.0,203,503,2019,13,4.0,112,121,1005,36,191,34.0,8.4,Own 27.3,2:44,5.8,31.4,1.94,27,26,,,8,2,30,,17,19,19,11,24,,32,23,16,9,,,,,,30,23,26,28,29,25,27,19,25,,,29,30,26,,8,21,25,17,27,,31,28,23,13,,,,,,18,27,14,30,21,23,18
DB,Raiders,2016,359,5336,1008,5.3,24,10,300,373,605,3879,34,14,6.1,193,370,1457,7,3.9,74,139,1102,33,195,31.8,10.3,Own 29.4,2:25,5.30,27.3,1.79,399,5818,1085,5.4,25,11,344,404,641,4140,25,14,6.1,206,406,1678,12,4.1,94,104,943,44,191,38.2,11.5,Own 27.7,2:36,5.9,30.5,1.92,17,24,,,17,18,26,,14,16,6,19,23,,29,28,24,22,,,,,,22,20,6,26,30,27,20,22,22,,,12,11,25,,30,26,15,13,10,,11,13,20,18,,,,,,5,20,18,14,26,16,16
WR,Browns,2016,278,5311,1042,5.1,30,18,307,371,609,3782,20,12,5.7,192,380,1529,5,4.0,81,120,1083,34,178,29.8,15.2,Own 27.4,2:47,6.03,29.8,1.46,432,6067,998,6.1,21,10,321,322,511,4012,34,11,7.4,186,458,2055,11,4.5,104,108,833,31,179,41.9,11.7,Own 29.0,2:42,5.8,33.8,2.26,30,25,,,26,32,23,,11,21,26,11,29,,27,22,29,16,,,,,,25,5,15,9,6,19,30,29,27,,,22,14,19,,4,22,29,21,31,,25,30,17,27,,,,,,2,17,27,25,20,29,31
 T,Lions,2016,358,5547,1030,5.4,24,10,337,420,632,4212,33,14,6.2,236,354,1335,7,3.8,71,104,930,30,179,34.6,12.3,Own 25.6,2:49,5.89,31.0,1.93,400,5597,999,5.6,19,10,319,360,528,3789,27,9,6.6,191,428,1808,18,4.2,96,96,785,32,186,38.2,9.1,Own 29.2,2:31,5.5,30.0,2.13,18,20,,,17,18,8,,4,9,8,19,18,,30,32,24,26,,,,,,16,13,28,6,9,14,13,23,18,,,25,14,17,,6,15,18,26,21,,20,19,30,20,,,,,,6,25,28,7,7,13,28
DB,Falcons,2016,339,5985,1073,5.6,30,13,359,410,621,4379,21,17,6.7,230,420,1606,13,3.8,95,100,969,34,174,34.5,17.2,Own 27.0,2:58,6.34,34.2,1.84,345,5562,996,5.6,23,8,335,370,561,3882,19,15,6.7,197,416,1680,20,4.0,107,95,728,31,172,34.3,13.4,Own 27.1,2:39,5.9,32.3,1.94,21,7,,,26,28,3,,8,6,23,24,10,,16,19,12,25,,,,,,17,2,18,1,2,4,18,14,16,,,16,22,24,,15,18,3,10,22,,15,14,31,15,,,,,,17,9,11,19,29,27,17
 C,Colts,2016,333,5142,1052,4.9,30,11,311,355,619,3704,26,19,5.6,195,396,1438,6,3.6,77,108,931,39,194,29.4,14.4,Own 26.8,2:29,5.56,26.5,1.54,408,6066,1072,5.7,25,8,331,354,585,4114,29,17,6.6,210,452,1952,14,4.3,89,133,1168,32,194,36.6,12.4,Own 27.4,2:34,5.7,31.1,1.98,24,28,,,26,22,22,,9,22,16,28,32,,21,29,28,31,,,,,,26,8,21,22,22,30,26,25,26,,,12,22,23,,20,24,19,6,20,,23,25,25,23,,,,,,12,12,17,12,15,21,21
DE,Bills,2016,379,5775,1016,5.7,19,10,297,295,465,3343,23,9,6.6,155,509,2432,19,4.8,122,143,1249,20,186,34.9,8.6,Own 26.7,2:42,5.61,31.0,1.95,359,5702,1017,5.6,25,8,322,347,602,3972,30,17,6.4,198,394,1730,10,4.4,87,113,906,37,191,32.5,11.0,Own 28.1,2:24,5.5,29.7,1.81,12,13,,,8,18,28,,31,28,20,5,12,,2,1,1,1,,,,,,15,29,22,14,19,13,11,15,19,,,12,22,20,,24,19,22,6,14,,9,16,10,25,,,,,,20,22,21,3,5,12,14
LB,Jets,2016,387,5925,1074,5.5,24,8,329,362,604,4057,33,16,6.5,210,448,1868,11,4.2,99,96,787,20,199,35.7,11.6,Own 29.2,2:31,5.56,29.6,1.95,314,5098,1013,5.0,30,12,271,343,601,3763,25,18,5.9,185,373,1335,4,3.6,62,90,767,24,194,28.4,14.4,Own 27.8,2:25,5.4,26.2,1.45,11,10,,,17,7,14,,15,13,8,23,15,,10,10,16,14,,,,,,14,15,8,18,21,20,10,9,4,,,3,9,1,,23,13,15,5,7,,4,2,1,3,,,,,,28,6,19,5,3,3,4
WR,Texans,2016,339,5564,1127,4.9,20,8,335,358,619,3833,29,12,5.9,210,472,1731,7,3.7,90,107,910,35,204,28.9,9.8,Own 25.5,2:25,5.66,27.3,1.57,313,4963,986,5.0,25,11,281,326,553,3366,24,14,5.6,173,388,1597,10,4.1,79,116,991,29,198,27.3,11.1,Own 29.3,2:22,5.1,25.0,1.51,21,19,,,11,7,10,,9,18,15,11,26,,5,15,24,28,,,,,,28,22,29,26,16,28,25,7,3,,,12,11,3,,14,3,11,13,3,,8,10,10,17,,,,,,30,21,29,2,1,2,6
WR,Redskins,2016,388,5661,1011,5.6,22,11,317,386,555,4095,30,11,7.0,208,429,1566,9,3.7,81,105,828,28,180,36.1,11.1,Own 27.0,2:49,5.78,31.5,1.95,379,6090,1010,6.0,27,16,329,354,566,4128,30,11,6.8,202,406,1962,10,4.8,103,112,955,24,181,35.4,14.9,Own 27.3,2:31,5.7,33.6,1.97,10,17,,,15,22,17,,20,11,13,9,6,,14,20,20,30,,,,,,12,18,18,6,13,9,12,17,28,,,8,1,22,,17,25,22,21,26,,11,26,10,31,,,,,,16,5,14,7,17,28,19
WR,Vikings,2016,365,5139,973,5.3,17,8,297,294,454,2928,14,9,5.9,153,474,2211,18,4.7,113,88,797,31,172,38.4,9.3,Own 30.2,2:50,5.88,29.9,1.90,302,5510,1015,5.4,22,9,318,359,561,3762,24,13,6.2,189,411,1748,7,4.3,94,109,875,35,177,33.3,11.9,Own 25.5,2:42,5.9,31.1,1.70,16,29,,,4,7,28,,32,31,31,5,25,,4,4,4,4,,,,,,7,26,3,5,10,18,14,5,13,,,19,16,16,,15,12,11,17,12,,14,17,3,21,,,,,,19,15,5,25,28,20,12
DB,Bengals,2016,419,5728,1004,5.7,17,8,324,334,505,3923,31,9,7.3,191,467,1805,18,3.9,99,111,917,34,182,39.6,9.3,Own 30.1,2:45,5.67,31.2,2.26,279,5453,1032,5.3,28,7,307,415,646,3976,18,21,5.8,202,344,1477,8,4.3,74,116,1063,31,180,28.9,15.0,Own 24.7,2:39,5.9,30.3,1.44,7,15,,,4,7,15,,26,15,11,5,3,,7,13,4,23,,,,,,6,25,4,10,15,11,5,2,11,,,6,27,10,,31,20,2,3,6,,1,7,6,22,,,,,,27,4,4,19,27,14,3
DB,Steelers,2016,423,6327,1011,6.3,28,7,331,391,590,4603,26,21,7.4,207,388,1724,16,4.4,91,94,868,33,190,40.5,13.7,Own 28.2,2:30,5.54,33.3,2.10,319,5809,1055,5.5,30,13,327,402,625,4350,29,17,6.5,231,382,1459,6,3.8,71,121,1199,25,189,32.3,14.3,Own 28.3,2:37,5.7,30.5,1.71,4,3,,,22,2,12,,16,3,16,29,2,,24,16,6,8,,,,,,5,11,10,21,23,7,7,11,21,,,3,4,21,,27,30,19,6,17,,6,5,2,6,,,,,,21,7,22,15,18,17,13
QB,Broncos,2016,355,5688,1056,5.4,31,8,314,368,606,3970,19,23,6.2,201,411,1718,13,4.2,85,115,1063,28,199,31.2,15.1,Own 25.9,2:27,5.48,28.6,1.58,296,4530,1033,4.4,27,13,289,344,573,3193,19,14,5.1,162,408,1337,10,3.3,81,104,773,46,201,26.9,11.9,Own 29.5,2:26,5.3,22.5,1.38,19,16,,,29,7,19,,13,14,28,32,21,,17,17,12,13,,,,,,24,6,27,24,25,23,24,4,1,,,8,4,5,,18,1,3,13,1,,13,3,10,1,,,,,,31,14,30,6,2,1,1
DT,Packers,2016,368,5353,1056,5.1,17,9,317,348,573,3503,31,8,5.7,173,436,1850,8,4.2,100,105,906,44,192,33.3,8.9,Own 28.1,2:31,5.65,27.8,1.83,323,5547,1014,5.5,22,6,300,321,551,3642,20,16,6.1,183,420,1905,13,4.5,96,120,1107,21,182,31.3,11.5,Own 26.5,2:37,5.7,30.4,1.66,15,23,,,4,15,17,,18,25,11,3,31,,12,12,21,11,,,,,,20,27,11,18,18,26,19,12,15,,,19,29,8,,13,6,6,9,11,,18,21,23,29,,,,,,24,19,9,15,16,15,11
 G,49ers,2016,238,4860,969,5.0,17,5,261,322,526,3316,16,12,5.7,154,390,1544,7,4.0,83,113,823,24,182,25.8,8.2,Own 23.7,2:21,5.47,26.6,1.28,387,6199,1081,5.7,12,3,356,375,549,4179,21,9,7.2,199,504,2020,20,4.0,128,112,920,29,182,37.9,6.6,Own 28.9,3:00,6.1,34.0,2.04,32,31,,,4,1,31,,24,29,29,11,28,,23,21,24,20,,,,,,29,30,31,28,26,29,32,18,29,,,31,30,28,,12,27,7,26,30,,32,29,31,12,,,,,,8,31,25,32,32,30,25
DT,Cardinals,2016,489,6533,1041,6.3,24,11,373,353,562,4616,35,13,7.8,237,452,1917,16,4.2,92,94,758,44,186,42.5,11.8,Own 27.8,2:45,5.77,35.1,2.37,313,5147,982,5.2,33,14,284,343,573,3687,24,19,6.1,177,373,1460,9,3.9,79,130,1202,28,186,31.7,16.7,Own 27.2,2:24,5.4,27.6,1.66,2,1,,,17,22,2,,19,2,3,17,1,,9,8,6,12,,,,,,3,14,14,10,14,2,2,7,5,,,2,3,4,,18,8,11,4,9,,4,6,8,9,,,,,,23,2,13,3,4,6,10
DT,Panthers,2016,500,5871,1060,5.5,19,9,357,300,501,3589,35,10,6.7,197,526,2282,19,4.3,136,103,887,24,198,42.9,9.6,Own 30.7,2:35,5.54,29.9,2.40,308,5167,1058,4.9,39,15,298,390,650,3752,21,24,5.4,198,364,1415,11,3.9,74,99,822,26,196,26.5,19.4,Own 27.1,2:20,5.5,26.2,1.45,1,11,,,8,15,4,,27,24,3,8,9,,1,2,1,10,,,,,,2,24,2,17,24,17,1,6,6,,,1,2,6,,32,11,7,1,2,,3,4,17,7,,,,,,32,1,11,1,8,4,5
 G,Seahawks,2016,423,6058,1035,5.9,16,8,335,333,489,3790,34,8,7.1,190,500,2268,10,4.5,128,117,1007,17,174,42.0,8.6,Own 29.2,2:58,6.13,34.6,2.27,277,4668,947,4.9,23,9,273,333,548,3364,14,14,5.8,175,362,1304,10,3.6,71,94,795,27,174,29.3,13.2,Own 23.8,2:39,5.6,26.9,1.43,4,4,,,3,7,10,,28,20,6,3,5,,3,3,18,7,,,,,,4,28,8,1,4,3,4,1,2,,,16,16,2,,11,2,1,13,5,,2,1,10,4,,,,,,25,10,1,19,11,5,2
QB,Buccaneers,2015,277,4672,936,5.0,33,13,263,301,531,3297,21,20,5.7,162,353,1375,7,3.9,72,118,939,29,180,26.7,17.2,Own 26.6,2:26,5.33,25.8,1.42,410,5903,1067,5.5,25,11,353,387,563,4084,28,14,6.8,223,468,1819,15,3.9,103,106,935,27,185,38.9,13.0,Own 31.2,2:52,6.0,31.8,2.10,29,30,,,31,25,30,,21,25,20,31,29,,31,29,27,24,,,,,,29,2,23,26,28,29,29,25,25,,,14,10,30,,21,28,22,14,26,,27,19,24,7,,,,,,7,14,30,31,29,28,26
QB,Titans,2015,254,4859,919,5.3,26,10,258,299,513,3412,20,16,6.1,159,356,1447,6,4.1,75,111,961,24,191,23.6,12.6,Own 25.8,2:18,4.93,25.3,1.25,438,5968,1099,5.4,16,4,357,347,545,3773,28,12,6.5,211,515,2195,17,4.3,119,93,731,27,191,40.8,8.4,Own 29.9,2:43,6.0,31.2,2.17,30,29,,,21,16,31,,24,22,22,19,20,,29,26,29,18,,,,,,30,14,27,29,32,30,30,29,27,,,29,32,31,,13,15,22,21,19,,32,31,28,19,,,,,,4,29,28,26,26,24,29
LB,Jaguars,2015,249,4634,988,4.7,26,8,271,325,557,3001,15,18,4.8,154,360,1633,9,4.5,86,73,573,31,195,22.6,12.8,Own 25.7,2:14,5.20,23.7,1.17,412,5932,1085,5.5,20,14,330,355,541,3899,24,6,6.7,200,499,2033,15,4.1,107,115,886,23,193,36.3,9.8,Own 29.8,2:43,5.8,30.7,1.90,32,31,,,21,9,29,,16,31,31,26,32,,28,21,24,6,,,,,,32,12,28,31,30,31,32,26,26,,,24,2,24,,10,22,12,30,21,,30,27,24,12,,,,,,11,26,27,26,19,19,22
WR,Raiders,2015,253,4515,994,4.5,29,13,248,365,629,3275,22,16,5.0,173,337,1240,4,3.7,56,116,939,19,198,22.7,13.6,Own 24.2,2:17,5.13,22.6,1.21,452,5721,1041,5.5,14,5,320,343,538,3810,29,9,6.8,190,481,1911,17,4.0,95,116,941,35,197,39.6,6.6,Own 32.9,2:34,5.5,29.1,2.12,31,32,,,26,25,32,,4,26,17,19,31,,32,32,32,27,,,,,,31,8,32,30,31,32,31,32,21,,,30,30,18,,7,16,25,27,25,,29,22,28,8,,,,,,6,31,32,10,6,9,27
 G,Redskins,2015,301,5738,1006,5.7,31,13,318,364,547,4047,18,18,6.7,186,401,1691,15,4.2,88,120,1130,44,192,29.7,15.6,Own 25.1,2:34,5.38,29.9,1.58,438,5712,976,5.9,19,12,307,345,519,3990,35,7,7.2,195,421,1722,11,4.1,77,144,1164,35,182,37.4,8.8,Own 30.0,2:36,5.5,31.2,2.13,26,13,,,29,25,17,,18,11,27,26,10,,21,19,9,14,,,,,,25,5,31,19,26,17,24,29,20,,,25,6,6,,2,24,32,28,30,,14,12,14,13,,,,,,8,28,29,15,7,23,28
DE,Jets,2015,283,5226,1052,5.0,24,9,289,287,498,2946,16,15,5.4,154,507,2280,11,4.5,112,109,932,23,186,31.7,11.8,Own 27.8,2:40,5.87,28.0,1.53,401,5235,976,5.4,13,7,300,345,538,3746,31,6,6.4,194,393,1489,10,3.8,74,91,780,32,183,37.2,5.5,Own 28.5,2:34,5.5,28.4,2.03,28,22,,,19,13,25,,27,32,30,16,30,,4,3,17,8,,,,,,22,16,16,13,11,25,26,24,6,,,32,23,2,,7,14,30,30,18,,7,5,11,6,,,,,,9,32,23,10,8,8,24
WR,Bears,2015,319,5233,1005,5.2,29,10,322,396,609,3792,30,19,5.8,194,355,1441,8,4.1,91,113,997,37,180,27.8,16.1,Own 25.9,2:41,5.67,29.0,1.68,442,6033,1008,6.0,24,10,325,366,548,4230,34,14,7.2,227,421,1803,12,4.3,78,106,978,20,177,44.6,12.4,Own 32.8,2:43,5.9,34.0,2.38,23,21,,,26,16,16,,7,15,9,30,25,,30,27,26,19,,,,,,28,4,26,12,19,21,20,31,30,,,20,16,20,,16,30,31,14,31,,14,17,17,22,,,,,,1,19,31,26,24,30,32
LB,Falcons,2015,381,6051,1035,5.8,23,8,330,418,632,4553,28,15,6.9,233,372,1498,11,4.0,75,97,840,22,175,38.9,13.1,Own 26.5,2:42,6.10,34.6,2.06,417,6372,1038,6.1,28,12,358,359,566,4478,20,16,7.6,224,450,1894,21,4.2,108,91,744,26,169,42.6,14.2,Own 27.9,2:54,6.4,37.6,2.25,12,8,,,13,9,13,,3,5,11,16,7,,27,24,17,21,,,,,,10,9,24,11,6,4,10,27,32,,,6,6,32,,23,32,5,12,32,,24,21,32,16,,,,,,3,6,20,32,32,32,30
 G,Giants,2015,380,5875,1086,5.4,28,14,336,383,607,4272,30,14,6.7,218,449,1603,13,3.6,83,101,896,35,193,34.7,12.4,Own 28.2,2:33,5.76,30.3,1.93,400,6012,1007,6.0,26,9,326,324,522,3850,25,17,6.8,187,438,2162,15,4.9,112,105,948,27,195,35.4,12.8,Own 28.5,2:24,5.3,30.8,1.88,13,10,,,25,29,12,,9,7,9,15,9,,10,23,12,30,,,,,,15,15,14,21,16,16,13,22,29,,,10,18,21,,3,18,15,11,24,,19,30,24,32,,,,,,13,15,23,3,2,20,20
RB,Rams,2015,324,5035,957,5.3,27,11,288,327,515,3400,20,16,6.0,189,395,1635,11,4.1,79,123,1139,20,186,29.6,14.0,Own 28.0,2:31,5.31,26.9,1.55,354,5626,1005,5.6,25,12,301,368,540,3861,18,13,6.7,189,425,1765,12,4.2,83,105,882,29,182,30.2,13.2,Own 25.6,2:42,5.7,30.8,1.57,21,28,,,24,19,26,,23,23,22,19,21,,26,20,17,17,,,,,,26,7,15,23,29,26,25,16,17,,,14,6,4,,9,19,3,18,22,,17,14,17,15,,,,,,26,12,3,22,15,21,7
DB,Vikings,2015,325,5048,981,5.1,20,2,288,322,517,3244,17,18,5.7,171,413,1804,12,4.4,90,100,836,27,176,31.8,10.8,Own 27.3,2:37,5.77,28.5,1.64,343,5515,1025,5.4,19,6,321,353,534,3572,26,13,6.2,189,450,1943,10,4.3,100,112,938,32,179,34.1,10.1,Own 28.2,2:49,5.9,30.6,1.83,20,27,,,6,1,26,,22,28,29,26,27,,18,14,14,11,,,,,,21,23,20,16,15,22,21,11,14,,,25,27,19,,5,7,17,18,14,,24,25,11,24,,,,,,14,24,21,29,22,18,16
DT,Browns,2015,299,5193,1010,5.1,23,7,294,274,502,3465,12,16,6.5,179,477,1728,17,3.6,88,116,932,27,193,28.0,10.9,Own 26.8,2:20,5.40,26.8,1.44,337,5857,1118,5.2,29,8,348,335,587,3592,22,21,5.8,184,500,2265,13,4.5,126,98,769,38,198,32.3,13.6,Own 27.5,2:34,5.8,29.3,1.68,27,23,,,13,6,24,,26,20,32,19,16,,6,17,4,28,,,,,,27,22,22,28,25,27,28,9,23,,,4,21,29,,26,8,6,2,5,,31,32,19,28,,,,,,21,9,14,10,20,11,11
 T,Saints,2015,401,6582,1095,6.0,30,13,395,456,659,4764,33,17,6.9,258,406,1818,16,4.5,101,80,670,36,174,39.1,16.7,Own 25.5,2:49,6.42,37.7,2.30,424,6144,1022,6.0,17,5,345,341,546,4019,26,12,6.9,205,442,2125,17,4.8,111,105,889,29,171,43.3,9.9,Own 26.1,2:51,6.2,35.8,2.30,9,1,,,28,25,1,,2,3,6,24,6,,19,13,5,9,,,,,,9,3,30,9,1,1,5,28,31,,,28,30,28,,15,25,17,21,28,,22,29,28,31,,,,,,2,25,7,30,31,31,31
WR,Dolphins,2015,388,5601,1040,5.4,23,11,361,394,595,3729,27,12,5.8,226,399,1872,12,4.7,99,81,635,36,181,37.6,10.5,Own 31.1,2:40,5.95,30.9,1.99,373,5494,1029,5.3,25,11,309,338,537,3557,27,14,6.2,194,453,1937,13,4.3,99,105,920,16,180,36.7,13.3,Own 29.5,2:39,5.9,30.3,1.99,11,14,,,13,19,4,,12,17,12,8,26,,22,12,14,2,,,,,,11,24,1,13,9,14,11,20,12,,,14,10,9,,6,6,20,14,11,,26,24,19,21,,,,,,10,11,26,18,23,16,23
RB,Chargers,2015,348,5465,1009,5.4,23,5,326,380,574,4098,31,18,6.7,214,398,1367,6,3.4,75,111,967,37,174,33.9,12.6,Own 26.4,2:51,5.95,31.3,1.87,348,5413,988,5.5,18,11,307,320,524,3427,24,7,6.2,168,438,1986,11,4.5,98,129,1067,41,179,35.8,9.5,Own 28.5,2:37,5.7,30.2,1.88,17,18,,,13,3,15,,14,10,8,26,8,,23,30,29,31,,,,,,17,13,25,6,10,11,15,13,9,,,27,10,6,,4,4,12,28,15,,19,26,14,29,,,,,,12,27,23,16,16,14,19
DB,Texans,2015,372,5513,1062,5.2,22,9,313,295,485,3352,22,13,6.6,171,551,2161,12,3.9,108,94,834,34,194,33.0,11.3,Own 27.7,2:34,5.65,28.2,1.69,307,5571,1077,5.2,34,14,329,363,619,3890,28,20,5.9,206,420,1681,6,4.0,89,99,786,34,199,26.6,16.1,Own 27.6,2:22,5.5,27.8,1.48,14,17,,,11,13,18,,30,24,17,13,13,,1,5,14,23,,,,,,18,20,18,19,21,24,19,7,16,,,1,2,22,,31,21,22,3,7,,13,10,2,10,,,,,,32,3,17,2,9,6,3
DT,49ers,2015,306,5239,1009,5.2,22,12,303,292,487,3063,20,10,5.7,165,470,2176,10,4.6,104,116,937,34,178,30.9,11.8,Own 27.8,2:51,5.84,29.4,1.60,340,5143,989,5.2,29,6,308,324,551,3531,29,23,6.0,188,402,1612,7,4.0,83,122,909,37,175,32.0,16.6,Own 25.8,2:40,5.8,29.3,1.78,25,20,,,11,24,22,,29,30,22,5,28,,9,4,21,4,,,,,,24,17,16,6,12,18,22,10,5,,,4,27,8,,17,5,25,1,9,,10,7,4,11,,,,,,22,2,5,20,18,10,15
DB,Chiefs,2015,353,5100,962,5.3,17,11,309,320,493,3182,18,6,5.9,184,420,1918,18,4.6,92,88,681,33,173,35.8,9.2,Own 29.3,2:46,5.73,29.4,1.93,281,5288,1024,5.2,14,8,310,318,545,3252,22,6,5.5,184,433,2036,4,4.7,108,107,851,18,178,32.6,6.7,Own 27.7,2:42,6.0,29.7,1.56,16,25,,,4,19,21,,28,29,27,1,23,,16,10,3,5,,,,,,13,29,8,10,17,19,14,2,7,,,30,21,12,,13,2,6,30,4,,18,28,1,30,,,,,,19,30,19,22,27,12,6
 C,Browns,2015,299,5193,1010,5.1,23,7,294,274,502,3465,12,16,6.5,179,477,1728,17,3.6,88,116,932,27,193,28.0,10.9,Own 26.8,2:20,5.40,26.8,1.44,337,5857,1118,5.2,29,8,348,335,587,3592,22,21,5.8,184,500,2265,13,4.5,126,98,769,38,198,32.3,13.6,Own 27.5,2:34,5.8,29.3,1.68,27,23,,,13,6,24,,26,20,32,19,16,,6,17,4,28,,,,,,27,22,22,28,25,27,28,9,23,,,4,21,29,,26,8,6,2,5,,31,32,19,28,,,,,,21,9,14,10,20,11,11
