Position Drafted,Team,Draft Year,Team PF,Team Yds,Team Ply,Team Y/P,Team TO,Team FL,Team 1stD,Team Cmp,Team Att,Team Yds,Team TD,Team Int,Team NY/A,Team 1stD,Team Att,Team Yds,Team TD,Team Y/A,Team 1stD,Team Pen,Team Yds,Team 1stPy,Team #Dr,Team Sc%,Team TO%,Team Start,Team Time,Team Plays,Team Yds,Team Pts,Opp. PF,Opp. Yds,Opp. Ply,Opp. Y/P,Opp. TO,Opp. FL,Opp. 1stD,Opp. Cmp,Opp. Att,Opp. Yds,Opp. TD,Opp. Int,Opp. NY/A,Opp. 1stD,Opp. Att,Opp. Yds,Opp. TD,Opp. Y/A,Opp. 1stD,Opp. Pen,Opp. Yds,Opp. 1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Start,Opp. Time,Opp. Plays,Opp. Yds,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank Ply,Off. Rank Y/P,Off. Rank TO,Off. Rank FL,Off. Rank 1stD,Off. Rank Cmp,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds,Off. Rank TD,Off. Rank Y/A,Off. Rank 1stD,Off. Rank Pen,Off. Rank Yds,Off. Rank 1stPy,Off. Rank #Dr,Off. Rank Sc%,Off. Rank TO%,Off. Rank Start,Off. Rank Time,Off. Rank Plays,Off. Rank Yds,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank Ply,Def. Rank Y/P,Def. Rank TO,Def. Rank FL,Def. Rank 1stD,Def. Rank Cmp,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank 1stD,Def. Rank Att,Def. Rank Yds,Def. Rank TD,Def. Rank Y/A,Def. Rank 1stD,Def. Rank Pen,Def. Rank Yds,Def. Rank 1stPy,Def. Rank #Dr,Def. Rank Sc%,Def. Rank TO%,Def. Rank Start,Def. Rank Time,Def. Rank Plays,Def. Rank Yds,Def. Rank Pts
 T,Jets,2020,276,4368,956,4.6,25,9,253,323,521,3111,19,16,5.4,162,383,1257,6,3.3,61,115,1105,30,189,23.3,11.6,Own 27.0,2:27,5.21,22.9,1.23,359,5170,1037,5.0,21,9,302,363,585,3779,25,12,6.1,187,417,1391,12,3.3,75,107,902,40,193,33.7,9.8,Own 31.4,2:35,5.5,26.7,1.78,31,32,,,23,15,31,,22,29,27,23,29,,26,31,31,32,,,,,,32,16,28,28,30,32,32,16,7,,,17,14,7,,24,17,17,17,13,,18,2,9,2,,,,,,22,20,30,8,4,5,11
WR,Raiders,2020,313,5819,989,5.9,17,9,315,367,523,3926,22,8,7.1,194,437,1893,13,4.3,104,128,1138,17,165,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,419,5677,963,5.9,15,6,344,337,526,4107,33,9,7.4,201,405,1570,15,3.9,91,91,763,52,166,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,24,11,,,7,15,18,,21,9,19,5,6,,11,13,18,17,,,,,,22,25,27,3,7,5,19,24,19,,,31,27,23,,7,25,27,29,30,,12,8,21,5,,,,,,6,30,2,23,22,27,31
 T,Buccaneers,2020,458,6366,1086,5.9,41,11,353,382,630,4845,33,30,7.2,244,409,1521,15,3.7,81,133,1111,28,198,37.9,20.2,Own 28.1,2:30,5.66,32.1,2.11,449,5503,1073,5.1,28,16,331,408,664,4322,30,12,6.1,222,362,1181,11,3.3,70,111,971,39,198,39.4,13.6,Own 31.4,2:22,5.6,27.8,2.01,3,3,,,32,22,5,,4,1,3,32,4,,14,24,15,28,,,,,,10,1,21,25,25,11,9,29,15,,,5,2,19,,32,30,25,17,12,,4,1,7,1,,,,,,10,9,29,3,7,6,17
DT,49ers,2020,479,6097,1012,6.0,23,10,336,331,478,3792,28,13,7.4,195,498,2305,23,4.6,110,105,939,31,183,44.3,12.0,Own 32.1,2:46,5.74,33.1,2.44,310,4509,968,4.7,27,15,285,318,519,2707,23,12,4.8,150,401,1802,11,4.5,105,116,957,30,177,28.8,14.1,Own 28.5,2:37,5.6,25.4,1.63,2,4,,,19,19,14,,29,13,10,18,3,,2,2,1,9,,,,,,5,12,4,11,22,9,4,8,2,,,6,4,3,,6,1,13,17,1,,9,17,7,23,,,,,,30,6,16,9,6,2,4
WR,Broncos,2020,282,4777,954,5.0,16,6,279,312,504,3115,16,10,5.7,162,409,1662,11,4.1,77,110,912,40,173,32.4,9.2,Own 27.6,2:43,5.71,27.6,1.60,316,5392,1003,5.4,17,7,305,348,537,3609,19,10,6.3,175,426,1783,9,4.2,96,121,1041,34,171,36.3,8.8,Own 28.7,2:52,6.1,31.5,1.74,28,28,,,6,2,29,,27,28,32,12,24,,14,20,22,21,,,,,,21,26,26,13,20,27,27,10,12,,,25,24,9,,10,11,5,25,15,,20,16,5,13,,,,,,14,31,16,27,26,19,9
DB,Falcons,2020,381,6075,1096,5.5,25,10,383,459,684,4714,29,15,6.4,258,362,1361,10,3.8,84,119,956,41,174,40.8,13.2,Own 28.7,2:51,6.53,34.9,2.12,399,5693,985,5.8,20,8,330,351,536,3918,28,12,6.9,192,421,1775,13,4.2,108,127,1080,30,167,42.5,9.0,Own 28.8,2:47,6.1,34.1,2.26,13,5,,,23,19,2,,1,3,8,21,14,,29,30,24,26,,,,,,7,8,13,7,2,6,8,23,20,,,19,21,18,,8,22,23,17,26,,19,15,14,16,,,,,,2,26,18,21,25,25,27
WR,Cowboys,2020,434,6904,1069,6.5,18,7,379,388,597,4751,30,11,7.7,229,449,2153,18,4.8,120,109,1008,30,175,44.6,10.3,Own 26.3,2:42,6.34,39.4,2.43,321,5232,1015,5.2,17,10,327,370,569,3576,21,7,5.9,188,407,1656,14,4.1,101,102,855,38,173,35.3,9.8,Own 30.2,2:49,6.1,30.2,1.87,6,1,,,9,5,3,,10,2,5,14,1,,8,5,7,5,,,,,,4,21,29,15,4,1,5,11,9,,,25,10,16,,20,10,8,30,8,,13,11,17,8,,,,,,18,21,26,23,24,11,14
 T,Dolphins,2020,306,4960,1022,4.9,26,8,315,371,615,3804,22,18,5.7,210,349,1156,10,3.3,64,92,769,41,182,30.2,13.7,Own 27.7,2:32,5.78,27.1,1.61,494,6364,1053,6.0,16,3,361,344,545,4198,39,13,7.4,214,485,2166,15,4.5,113,111,1084,34,185,45.9,8.6,Own 30.5,2:44,5.9,34.2,2.55,25,27,,,25,11,18,,7,12,19,27,26,,32,32,24,31,,,,,,26,9,23,22,19,29,25,32,30,,,28,31,30,,14,26,32,12,32,,30,27,21,22,,,,,,1,28,27,20,20,26,32
DB,Raiders,2020,313,5819,989,5.9,17,9,315,367,523,3926,22,8,7.1,194,437,1893,13,4.3,104,128,1138,17,165,32.7,9.7,Own 27.2,3:00,6.15,35.1,1.83,419,5677,963,5.9,15,6,344,337,526,4107,33,9,7.4,201,405,1570,15,3.9,91,91,763,52,166,41.0,8.4,Own 25.7,2:48,6.0,34.2,2.39,24,11,,,7,15,18,,21,9,19,5,6,,11,13,18,17,,,,,,22,25,27,3,7,5,19,24,19,,,31,27,23,,7,25,27,29,30,,12,8,21,5,,,,,,6,30,2,23,22,27,31
DE,Jaguars,2020,300,5468,1020,5.4,20,12,298,364,589,3760,24,8,6.0,183,389,1708,3,4.4,85,132,1165,30,177,33.9,10.2,Own 25.9,2:45,5.95,30.9,1.63,397,6007,999,6.0,19,9,340,327,517,3778,22,10,6.7,193,435,2229,23,5.1,114,102,883,33,180,37.2,9.4,Own 29.5,2:37,5.7,33.2,2.12,26,20,,,13,26,27,,12,16,17,5,19,,23,17,32,15,,,,,,19,22,32,13,14,17,26,21,24,,,22,14,21,,5,16,12,25,23,,22,28,31,31,,,,,,13,24,21,9,10,22,23
